date,value,quality
2001-07-06 00:00:00+00:00,50.0,3
2001-07-07 00:00:00+00:00,51.0,3
2001-07-08 00:00:00+00:00,51.0,3
2001-07-09 00:00:00+00:00,53.0,3
2001-07-10 00:00:00+00:00,54.0,3
2001-07-11 00:00:00+00:00,60.0,3
2001-07-12 00:00:00+00:00,64.0,3
2001-07-13 00:00:00+00:00,65.0,3
2001-07-14 00:00:00+00:00,68.0,3
2001-07-15 00:00:00+00:00,70.0,3
2001-07-16 00:00:00+00:00,71.0,3
2001-07-17 00:00:00+00:00,69.0,3
2001-07-18 00:00:00+00:00,71.0,3
2001-07-19 00:00:00+00:00,70.0,3
2001-07-20 00:00:00+00:00,74.0,3
2001-07-21 00:00:00+00:00,65.0,3
2001-07-22 00:00:00+00:00,71.0,3
2001-07-23 00:00:00+00:00,70.0,3
2001-07-24 00:00:00+00:00,67.0,3
2001-07-25 00:00:00+00:00,66.0,3
2001-07-26 00:00:00+00:00,65.0,3
2001-07-27 00:00:00+00:00,64.0,3
2001-07-28 00:00:00+00:00,62.0,3
2001-07-29 00:00:00+00:00,57.0,3
2001-07-30 00:00:00+00:00,55.0,3
2001-07-31 00:00:00+00:00,53.0,3
2001-08-01 00:00:00+00:00,53.0,3
2001-08-02 00:00:00+00:00,52.0,3
2001-08-03 00:00:00+00:00,56.0,3
2001-08-04 00:00:00+00:00,58.0,3
2001-08-05 00:00:00+00:00,56.0,3
2001-08-06 00:00:00+00:00,55.0,3
2001-08-07 00:00:00+00:00,54.0,3
2001-08-08 00:00:00+00:00,63.0,3
2001-08-09 00:00:00+00:00,76.0,3
2001-08-10 00:00:00+00:00,83.0,3
2001-08-11 00:00:00+00:00,88.0,3
2001-08-12 00:00:00+00:00,90.0,3
2001-08-13 00:00:00+00:00,86.0,3
2001-08-14 00:00:00+00:00,75.0,3
2001-08-15 00:00:00+00:00,69.0,3
2001-08-16 00:00:00+00:00,68.0,3
2001-08-17 00:00:00+00:00,67.0,3
2001-08-18 00:00:00+00:00,65.0,3
2001-08-19 00:00:00+00:00,66.0,3
2001-08-20 00:00:00+00:00,71.0,3
2001-08-21 00:00:00+00:00,71.0,3
2001-08-22 00:00:00+00:00,70.0,3
2001-08-23 00:00:00+00:00,71.0,3
2001-08-24 00:00:00+00:00,74.0,3
2001-08-25 00:00:00+00:00,74.0,3
2001-08-26 00:00:00+00:00,73.0,3
2001-08-27 00:00:00+00:00,71.0,3
2001-08-28 00:00:00+00:00,70.0,3
